epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,738.802,0.97816,1.24271,0.98896,0.24945,0.1875,0.12792,0.06568,2.05797,3.60102,1.6853,0.0011882,0.0011882,0.0011882
43,757.692,1.01881,1.39907,0.98146,0.24945,0.1875,0.12792,0.06568,2.05797,3.60102,1.6853,0.0011684,0.0011684,0.0011684
44,776.534,1.1248,1.6378,1.01303,0.24994,0.22396,0.11058,0.05177,2.03302,3.40396,1.61424,0.0011486,0.0011486,0.0011486
45,795.712,1.11355,1.49429,0.94653,0.24994,0.22396,0.11058,0.05177,2.03302,3.40396,1.61424,0.0011288,0.0011288,0.0011288
46,814.499,1.10874,1.30243,1.02891,0.24994,0.22396,0.11058,0.05177,2.03302,3.40396,1.61424,0.001109,0.001109,0.001109
47,833.39,0.84081,1.19306,0.92145,0.39025,0.21875,0.19608,0.08275,2.00516,3.01581,1.48526,0.0010892,0.0010892,0.0010892
48,852.308,1.03925,1.23047,0.95205,0.39025,0.21875,0.19608,0.08275,2.00516,3.01581,1.48526,0.0010694,0.0010694,0.0010694
49,871.246,1.04867,1.29866,0.93408,0.58186,0.33333,0.35408,0.14086,2.00318,2.6837,1.46279,0.0010496,0.0010496,0.0010496
50,890.15,0.99483,1.50158,0.9303,0.58186,0.33333,0.35408,0.14086,2.00318,2.6837,1.46279,0.0010298,0.0010298,0.0010298
51,908.787,0.99101,1.19109,0.9044,0.58186,0.33333,0.35408,0.14086,2.00318,2.6837,1.46279,0.00101,0.00101,0.00101
52,928.767,1.06026,1.38606,0.96054,0.61898,0.39768,0.41166,0.16264,2.00016,2.5024,1.49754,0.0009902,0.0009902,0.0009902
53,947.9,0.98908,1.28977,0.91834,0.61898,0.39768,0.41166,0.16264,2.00016,2.5024,1.49754,0.0009704,0.0009704,0.0009704
54,965.078,1.01825,1.31791,1.01768,0.61898,0.39768,0.41166,0.16264,2.00016,2.5024,1.49754,0.0009506,0.0009506,0.0009506
55,982.933,0.97556,1.45482,0.99586,0.68423,0.34375,0.39135,0.16053,1.98735,2.49603,1.5189,0.0009308,0.0009308,0.0009308
56,1001.59,1.09734,1.2799,0.952,0.68423,0.34375,0.39135,0.16053,1.98735,2.49603,1.5189,0.000911,0.000911,0.000911
57,1020.48,0.95568,1.20334,0.96526,0.54065,0.33854,0.35741,0.14785,1.98879,2.53779,1.52383,0.0008912,0.0008912,0.0008912
58,1039.51,1.00926,1.25414,0.94909,0.54065,0.33854,0.35741,0.14785,1.98879,2.53779,1.52383,0.0008714,0.0008714,0.0008714
